2022-06-29 10:49:59,908 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.469/512.277/1016.085/503.808 ms
2022-06-29 10:50:02,148 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 3.959/5.067/6.175/1.108 ms
2022-06-30 12:01:50,898 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 1028.280/1028.280/1028.280/0.000 ms
2022-06-30 12:01:52,159 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.605/9.605/9.605/0.000 ms
2022-06-30 12:02:46,291 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 2.287/5.053/9.596/2.496 ms
2022-06-30 12:02:51,523 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 2.911/5.746/9.295/2.703 ms
2022-07-04 15:11:45,348 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 2.592/212.076/1032.984/410.460 ms
2022-07-04 15:11:50,609 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 1.368/5.428/7.762/2.394 ms
2022-07-04 15:14:46,371 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 3.424/4.468/5.725/0.822 ms
2022-07-04 15:14:51,595 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 3.286/7.482/12.042/2.910 ms
2022-07-04 15:15:30,441 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 3.135/5.417/8.215/1.774 ms
2022-07-04 15:15:35,663 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 1.320/4.590/7.769/2.481 ms
2022-08-08 13:03:33,378 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.751/5.751/5.751/0.000 ms
2022-08-08 13:47:17,289 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 6.3/6.3/6.3/0.0 ms
2022-08-08 14:31:21,863 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 16.7/16.7/16.7/0.0 ms
2022-08-08 14:44:43,188 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 12.002/12.002/12.002/0.000 ms
2022-08-08 14:50:03,660 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.054/7.054/7.054/0.000 ms
2022-08-08 14:52:40,562 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 15.0/15.0/15.0/0.0 ms
2022-10-02 23:43:23,663 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-10-02 23:43:27,951 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-10-02 23:43:32,239 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-10-02 23:43:36,531 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-10-02 23:43:40,815 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-10-03 11:38:33,250 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.208/7.208/7.208/0.000 ms
2022-10-03 11:38:34,481 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 3.741/3.741/3.741/0.000 ms
